"pg","era","date","season","week","neutral","playoff","visitor","visitor.abbr","home","home.abbr","visitor.score","v.offense","v.defense","home.score","h.offense","h.defense","margin","home.wins","visitor.elo.538","home.elo.538","home.prob.538"
"https://www.pro-football-reference.com/boxscores/197009180ram.htm",2,1970-09-18,1970,2612,0,0,"St. Louis Cardinals","ARI","Los Angeles Rams","LAR",13,13,0,34,27,7,21,1,1426.127,1583.202,0.782171583704913
"https://www.pro-football-reference.com/boxscores/197009190nyg.htm",2,1970-09-19,1970,2612,0,0,"Chicago Bears","CHI","New York Giants","NYG",24,17,7,16,16,0,8,0,1382.173,1475.119,0.712838530902461
"https://www.pro-football-reference.com/boxscores/197009200min.htm",2,1970-09-20,1970,2612,0,0,"Kansas City Chiefs","KC","Minnesota Vikings","MIN",10,10,0,27,20,7,17,1,1685.241,1640.706,0.529417488369151
"https://www.pro-football-reference.com/boxscores/197009200nor.htm",2,1970-09-20,1970,2612,0,0,"Atlanta Falcons","ATL","New Orleans Saints","NO",14,14,0,3,3,0,11,0,1484.728,1418.525,0.498268750751844
"https://www.pro-football-reference.com/boxscores/197009200nwe.htm",2,1970-09-20,1970,2612,0,0,"Miami Dolphins","MIA","Boston Patriots","NE",14,14,0,27,27,0,13,1,1373.046,1428.661,0.666926298719277
"https://www.pro-football-reference.com/boxscores/197009200sdg.htm",2,1970-09-20,1970,2612,0,0,"Baltimore Colts","IND","San Diego Chargers","LAC",16,16,0,14,14,0,2,0,1586.888,1522.059,0.500246088761943
"https://www.pro-football-reference.com/boxscores/197009200phi.htm",2,1970-09-20,1970,2612,0,0,"Dallas Cowboys","DAL","Philadelphia Eagles","PHI",17,17,0,7,7,0,10,0,1586.774,1397.834,0.328835642710961
"https://www.pro-football-reference.com/boxscores/197009200sfo.htm",2,1970-09-20,1970,2612,0,0,"Washington Redskins","WSH","San Francisco 49ers","SF",17,17,0,26,24,2,9,1,1488.866,1458.876,0.550213599307772
"https://www.pro-football-reference.com/boxscores/197009200pit.htm",2,1970-09-20,1970,2612,0,0,"Houston Oilers","TEN","Pittsburgh Steelers","PIT",19,17,2,7,7,0,12,0,1470.975,1328.702,0.390593264530393
"https://www.pro-football-reference.com/boxscores/197009200cin.htm",2,1970-09-20,1970,2612,0,0,"Oakland Raiders","OAK","Cincinnati Bengals","CIN",21,14,7,31,31,0,10,1,1638.776,1396.972,0.26546285580771
"https://www.pro-football-reference.com/boxscores/197009200buf.htm",2,1970-09-20,1970,2612,0,0,"Denver Broncos","DEN","Buffalo Bills","BUF",25,23,2,10,10,0,15,0,1436.731,1386.799,0.521671009912171
"https://www.pro-football-reference.com/boxscores/197009200gnb.htm",2,1970-09-20,1970,2612,0,0,"Detroit Lions","DET","Green Bay Packers","GB",40,33,7,0,0,0,40,0,1563.539,1541.903,0.562083767682084
"https://www.pro-football-reference.com/boxscores/197009210cle.htm",2,1970-09-21,1970,2612,0,0,"New York Jets","NYJ","Cleveland Browns","CLE",21,21,0,31,17,14,10,1,1569.708,1586.873,0.616088782798066
"https://www.pro-football-reference.com/boxscores/197009270min.htm",2,1970-09-27,1970,2613,0,0,"New Orleans Saints","NO","Minnesota Vikings","MIN",0,0,0,26,12,14,26,1,1393.775,1667.659,0.875530917844201
"https://www.pro-football-reference.com/boxscores/197009270det.htm",2,1970-09-27,1970,2613,0,0,"Cincinnati Bengals","CIN","Detroit Lions","DET",3,3,0,38,31,7,35,1,1435.277,1606.125,0.795377531892476
"https://www.pro-football-reference.com/boxscores/197009270dal.htm",2,1970-09-27,1970,2613,0,0,"New York Giants","NYG","Dallas Cowboys","DAL",10,10,0,28,28,0,18,1,1441.371,1601.703,0.785349085783609
"https://www.pro-football-reference.com/boxscores/197009270den.htm",2,1970-09-27,1970,2613,0,0,"Pittsburgh Steelers","PIT","Denver Broncos","DEN",13,13,0,16,14,2,3,1,1309.345,1465.858,0.781619881354835
"https://www.pro-football-reference.com/boxscores/197009270chi.htm",2,1970-09-27,1970,2613,0,0,"Philadelphia Eagles","PHI","Chicago Bears","CHI",16,16,0,20,13,7,4,1,1382.905,1415.921,0.637429663315925
