"pg","era","date","season","week","neutral","playoff","visitor","visitor.abbr","home","home.abbr","visitor.score","v.offense","v.defense","home.score","h.offense","h.defense","margin","home.wins","visitor.elo.538","home.elo.538","home.prob.538"
"https://www.pro-football-reference.com/boxscores/192709250prv.htm",1,1927-09-25,1927,369,0,0,"New York Giants","NYG","Providence Steam Roller","PRV",8,6,2,0,0,0,8,0,1525.317,1464.57,0.506120253306978
"https://www.pro-football-reference.com/boxscores/192709250crd.htm",1,1927-09-25,1927,369,0,0,"Chicago Bears","CHI","Chicago Cardinals","ARI",9,9,0,0,0,0,9,0,1624.042,1497.449,0.412277602333279
"https://www.pro-football-reference.com/boxscores/192710020cib.htm",1,1927-10-02,1927,370,0,0,"New York Giants","NYG","Cleveland Bulldogs","CIB",0,0,0,0,0,0,0,0.5,1547.601,1357.622,0.327516981141734
"https://www.pro-football-reference.com/boxscores/192710020prv.htm",1,1927-10-02,1927,370,0,0,"Buffalo Bisons","BFF","Providence Steam Roller","PRV",0,0,0,5,3,2,5,1,1448.575,1442.286,0.583696764643337
"https://www.pro-football-reference.com/boxscores/192710020day.htm",1,1927-10-02,1927,370,0,0,"New York Yankees","NYA","Dayton Triangles","DAY",6,6,0,3,3,0,3,0,1368.333,1431.072,0.67597267237434
"https://www.pro-football-reference.com/boxscores/192710020gnb.htm",1,1927-10-02,1927,370,0,0,"Chicago Bears","CHI","Green Bay Packers","GB",7,7,0,6,6,0,1,0,1642.511,1582.896,0.507749017454377
"https://www.pro-football-reference.com/boxscores/192710020crd.htm",1,1927-10-02,1927,370,0,0,"Pottsville Maroons","PTB","Chicago Cardinals","ARI",7,0,7,19,19,0,12,1,1608.494,1478.98,0.408209434142644
"https://www.pro-football-reference.com/boxscores/192710080fyj.htm",1,1927-10-08,1927,371,0,0,"Dayton Triangles","DAY","Frankford Yellow Jackets","FYJ",0,0,0,0,0,0,0,0.5,1411.175,1609.955,0.820308609397766
"https://www.pro-football-reference.com/boxscores/192710090crd.htm",1,1927-10-09,1927,371,0,0,"Dayton Triangles","DAY","Chicago Cardinals","ARI",0,0,0,7,7,0,7,1,1420.944,1510.255,0.708536237555762
"https://www.pro-football-reference.com/boxscores/192710090gnb.htm",1,1927-10-09,1927,371,0,0,"Duluth Eskimos","DUL","Green Bay Packers","GB",0,0,0,20,14,6,20,1,1517.162,1575.84,0.670831408987912
"https://www.pro-football-reference.com/boxscores/192710090cib.htm",1,1927-10-09,1927,371,0,0,"New York Yankees","NYA","Cleveland Bulldogs","CIB",13,7,6,7,7,0,6,0,1388.231,1362.883,0.556817344839385
"https://www.pro-football-reference.com/boxscores/192710090ptb.htm",1,1927-10-09,1927,371,0,0,"New York Giants","NYG","Pottsville Maroons","PTB",19,13,6,0,0,0,19,0,1542.341,1577.219,0.639903189417814
"https://www.pro-football-reference.com/boxscores/192710120bff.htm",1,1927-10-12,1927,372,0,0,"New York Yankees","NYA","Buffalo Bisons","BFF",19,19,0,8,6,2,11,0,1410.299,1434.045,0.625008769777215
"https://www.pro-football-reference.com/boxscores/192710150fyj.htm",1,1927-10-15,1927,372,0,0,"Buffalo Bisons","BFF","Frankford Yellow Jackets","FYJ",0,0,0,54,54,0,54,1,1401.677,1600.186,0.820078546543943
"https://www.pro-football-reference.com/boxscores/192710160chi.htm",1,1927-10-16,1927,372,0,0,"New York Yankees","NYA","Chicago Bears","CHI",0,0,0,12,12,0,12,1,1442.666,1649.567,0.827096533433614
"https://www.pro-football-reference.com/boxscores/192710160gnb.htm",1,1927-10-16,1927,372,0,0,"Chicago Cardinals","ARI","Green Bay Packers","GB",0,0,0,13,13,0,13,1,1521.583,1594.816,0.689061013532265
"https://www.pro-football-reference.com/boxscores/192710160nyg.htm",1,1927-10-16,1927,372,0,0,"Cleveland Bulldogs","CIB","New York Giants","NYG",6,6,0,0,0,0,6,0,1340.815,1582.504,0.853890147440434
